CIP_Occupation_Title,NSSBIC_Occupation_Title
"Pediatric Dentistry/Pedodontics (Cert, MS, PhD)   (New)",Health & Human Services
Dental Public Health Specialty,Health & Human Services
Pedodontics Specialty,Health & Human Services
"Oral/Maxillofacial Surgery (Cert, MS, PhD)    (New)",Health & Human Services
Dental/Oral Surgery Specialty,Health & Human Services
"Orthodontics/Orthodontology (Cert, MS, PhD)    (New)",Health & Human Services
Orthodontics Specialty,Health & Human Services
"Prosthodontics/Prosthodontology (Cert, MS, PhD)   (New)",Health & Human Services
Prosthodontics Specialty,Health & Human Services
"Dental Clinical Sciences, General (MS, PhD)",Health & Human Services
Otolaryngology,Health & Human Services
Pediatric Orthopedics,Health & Human Services
Pediatric Surgery,Health & Human Services
"Oral Biology & Pathology (MS, PhD)    (New)",Health & Human Services
"Dental Materials (MS, PhD)    (New)",Health & Human Services
"Endodontics/Endodontology (Cert, MS, PhD)    (New)",Health & Human Services
"Periodontics/Periodontology (Cert, MS, PhD)   (New)",Health & Human Services
"Advanced/Graduate Dentistry & Oral Sciences, Other   (New)",Health & Human Services
Dental Public Health Specialty,Health & Human Services
Endodontics Speciality,Health & Human Services
Oral Pathology Specialty,Health & Human Services
Periodontics Specialty,Health & Human Services
"Dental Residency Program, Other",Health & Human Services
"Foods, Nutrition, & Wellness Studies, General",Health & Human Services
Human Nutrition (New),Health & Human Services
Foodservice Systems Administration/Management,Health & Human Services
"Foods, Nutrition, & Related Services, Other",Health & Human Services
Nutrition Sciences,Health & Human Services
Sports Medicine,Health & Human Services
Thoracic Surgery,Health & Human Services
Urology,Health & Human Services
Vascular Surgery,Health & Human Services
Dietetics/Dietician (RD),Health & Human Services
Clinical Nutrition/Nutritionist (NR)   (New),Health & Human Services
"Dietetic and Clinical Nutrition Services, Other",Health & Human Services
Optometry (OD),Health & Human Services
"Pharmacy (PharmD, BS/BPharm)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Pharmacy Administration & Pharmacy Policy & Regulatory Affairs (MS, PhD)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Pharmaceutics & Drug Design (MS, PhD)   (New)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Medicinal & Pharmaceutical Chemistry (MS, PhD)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Natural Products Chemistry & Pharmacognosy (MS, PhD)   (New)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Clinical & Industrial Drug Development (MS, PhD)   (New)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Pharmacoeconomics/Pharmaceutical Economics (MS, PhD)   (New)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Clinical, Hospital, & Managed Care Pharmacy (MS, PhD)   (New)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Industrial & Physical Pharmacy & Cosmetic Sciences (MS, PhD)   (New)","Retail & Wholesale Trade, Real Estate & Personal Services"
"Pharmacy, Pharmaceutical Sciences, & Administration, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Health & Human Services
Anesthesiology,Health & Human Services
Critical Care Anesthesiology,Health & Human Services
Medicine (MD),Health & Human Services
Osteopathic Medicine/Osteopathy (DO),Health & Human Services
Family Medicine,Health & Human Services
Cardiology,Health & Human Services
Critical Care Medicine,Health & Human Services
Endocrinology & Metabolism,Health & Human Services
Gastroenterology,Health & Human Services
Geriatric Medicine,Health & Human Services
Hematology,Health & Human Services
Infectious Disease,Health & Human Services
Internal Medicine,Health & Human Services
Nephrology,Health & Human Services
Neurology,Health & Human Services
Nuclear Medicine,Health & Human Services
Oncology,Health & Human Services
Pulmonary Disease,Health & Human Services
Rheumatology,Health & Human Services
Veterinary Preventive Medicine,"Agriculture, Forestry, & Fishing"
Veterinary Radiology,"Agriculture, Forestry, & Fishing"
Veterinary Surgery,"Agriculture, Forestry, & Fishing"
Neonatal-Perinatal Medicine,Health & Human Services
Obstetrics & Gynecology,Health & Human Services
Child/Pediatric Neurology,Health & Human Services
Family Medicine,Health & Human Services
Neonatal-Perinatal Medicine,Health & Human Services
Pediatric Cardiology,Health & Human Services
Pediatric Endocrinology,Health & Human Services
Pediatric Hemato-Oncology,Health & Human Services
Pediatric Nephrology,Health & Human Services
Pediatric Orthopedics,Health & Human Services
Pediatric Surgery,Health & Human Services
Pediatrics,Health & Human Services
Child Psychiatry,Health & Human Services
Psychiatry,Health & Human Services
Psysical Medical and Rehabilitation/Psychiatry  (New),Health & Human Services
Colon & Rectal Surgery,Health & Human Services
Critical Care Surgery,Health & Human Services
General Surgery,Health & Human Services
Hand Surgery,Health & Human Services
Neurological Surgery/Neurosurgery,Health & Human Services
Adult Reconstructive Orthopedics (Orthopedic Surgery)  (New),Health & Human Services
Orthopedic Surgery of the Spine  (New),Health & Human Services
Medicine (MD),Health & Human Services
Osteopathic Medicine/Osteopathy (DO),Health & Human Services
Aerospace Medicine,Health & Human Services
Allergies & Immunology - Residency Program,Health & Human Services
Blood Banking,Health & Human Services
Chemical Pathology,Health & Human Services
Child/Pediatric Neurology,Health & Human Services
Dermatology,Health & Human Services
Dermatopathology,Health & Human Services
Diagnostic Radiology,Health & Human Services
Emergency Medicine,Health & Human Services
Endocrinology & Metabolism,Health & Human Services
Forensic Pathology,Health & Human Services
Gastroenterology,Health & Human Services
Hematology,Health & Human Services
Hematological Pathology,Health & Human Services
Immunopathology,Health & Human Services
Laboratory Medicine,Health & Human Services
Musculoskeletal Oncology,Health & Human Services
Nephrology,Health & Human Services
Neurology,Health & Human Services
Neuropathology,Health & Human Services
Nuclear Medicine,Health & Human Services
Nuclear Radiology,Health & Human Services
